"temperatura";"punto_rocio";"humedad";"direccion_viento";"velocidad_viento";"velocidad_rafaga";"precipitacion";"presion";"visibilidad"
44.96;35.06;68.05;310;11.5078;23.0156;0;1010.6;10
44.06;32;62.3;290;9.20624;16.11092;0;1012;10
50;26.06;39.07;250;11.5078;17.2617;0;1010.8;10
48.92;24.08;37.46;280;11.5078;19.56326;0;1009.9;10
51.08;19.94;29.02;270;16.11092;25.31716;0;1009.2;10
48.92;21.92;34.21;290;16.11092;23.0156;0;1009;10
50;21.02;31.63;260;16.11092;21.86482;0;1009.2;10
37.94;24.08;57.04;280;16.11092;23.0156;0;1012.1;10
37.04;23;56.48;270;17.2617;20.71404;0;1012;10
32;10.94;40.99;300;18.41248;32.22184;0;1012.8;10
30.92;10.04;41.13;290;12.65858;17.2617;0;1013;10
32;14;46.92;300;18.41248;26.46794;0;1013.8;10
30.02;10.04;42.66;290;26.46794;39.12652;0;1014.6;10
30.92;8.06;37.63;300;21.86482;35.67418;0;1014.8;10
32;10.04;39.38;310;21.86482;32.22184;0;1014.5;10
35.06;12.02;38.04;290;23.0156;32.22184;0;1014;10
35.96;12.02;36.71;300;23.0156;31.07106;0;1013.3;10
37.94;12.02;33.95;300;24.16638;35.67418;0;1012.5;10
42.08;10.94;27.55;290;19.56326;29.92028;0;1011.7;10
42.98;8.06;23.39;280;16.11092;28.7695;0;1011;10
42.98;6.08;21.38;300;25.31716;34.5234;0;1010.8;10
42.08;5;21.07;300;18.41248;34.5234;0;1011;10
39.92;3.92;21.8;290;25.31716;32.22184;0;1011.7;10
37.94;5;24.75;300;18.41248;24.16638;0;1012.5;10
37.04;1.94;22.27;300;20.71404;32.22184;0;1013.1;10
35.96;3.92;25.47;300;19.56326;31.07106;0;1013.5;10
35.06;5;27.74;310;17.2617;25.31716;0;1014.2;10
33.98;6.98;31.69;310;17.2617;23.0156;0;1014.7;10
33.08;8.96;35.92;310;21.86482;27.61872;0;1014.8;10
32;10.04;39.38;300;17.2617;27.61872;0;1015;10
32;10.94;40.99;290;11.5078;27.61872;0;1015;10
30.92;12.02;44.92;300;18.41248;21.86482;0;1014.8;10
42.08;17.96;37.46;250;17.2617;24.16638;0;1011;10
44.06;21.02;39.57;250;20.71404;27.61872;0;1008.8;10
44.96;21.92;39.72;250;20.71404;28.7695;0;1007.7;10
46.94;23;38.56;250;20.71404;28.7695;0;1006.7;10
46.94;23;38.56;240;16.11092;23.0156;0;1006.2;10
48.02;24.08;38.74;240;10.35702;19.56326;0;1006.4;10
42.08;26.96;54.73;310;13.80936;20.71404;0;1008.6;10
32;24.08;72.24;340;10.35702;19.56326;0;1014.6;10
30.92;15.98;53.44;310;9.20624;19.56326;0;1020.1;10
35.96;14;40.05;340;18.41248;25.31716;0;1020.9;10
37.04;15.08;40.24;310;17.2617;28.7695;0;1021.1;10
37.94;14;37.05;310;11.5078;19.56326;0;1020.9;10
37.94;12.92;35.33;330;12.65858;17.2617;0;1021.1;10
37.04;12.02;35.17;320;10.35702;17.2617;0;1022.8;10
35.06;19.94;53.66;90;12.65858;18.41248;0;1028.2;10
35.06;21.02;56.18;110;10.35702;21.86482;0;1027.6;10
35.06;21.02;56.18;80;11.5078;20.71404;0;1026;10
35.06;21.92;58.37;100;11.5078;18.41248;0;1024.9;10
32;30.92;95.73;70;11.5078;18.41248;0.11;1020.8;0.75
33.08;30.92;91.66;60;13.80936;20.71404;0.11;1019.6;0.75
35.06;33.08;92.4;50;13.80936;21.86482;0.06;1013.1;3
44.96;35.96;70.52;300;9.20624;18.41248;0;1006.3;10
46.04;33.08;60.35;280;13.80936;21.86482;0;1006.3;10
42.08;30.92;64.35;330;16.11092;20.71404;0;1008.4;10
37.04;15.08;40.24;270;17.2617;24.16638;0;1010.1;10
35.96;17.06;45.76;250;21.86482;26.46794;0;1011.9;10
37.94;17.06;42.32;260;19.56326;29.92028;0;1012;10
39.92;17.96;40.72;270;20.71404;28.7695;0;1012.1;10
42.98;17.96;36.18;270;13.80936;25.31716;0;1011.6;10
44.06;15.98;31.87;240;19.56326;27.61872;0;1011;10
44.96;15.98;30.79;280;18.41248;27.61872;0;1010.3;10
46.94;17.06;29.94;250;20.71404;29.92028;0;1009.1;10
44.96;12.92;26.94;260;20.71404;31.07106;0;1009;10
35.06;10.94;36.26;350;12.65858;18.41248;0;1006.9;10
35.06;12.02;38.04;340;13.80936;19.56326;0;1006.3;10
37.04;12.92;36.6;330;8.05546;20.71404;0;1005.3;10
39.92;10.94;29.95;310;6.90468;17.2617;0;1003.9;10
37.94;10.04;31.09;310;14.96014;24.16638;0;1004.4;10
35.96;8.06;30.76;300;13.80936;24.16638;0;1005.1;10
32;12.02;43;310;12.65858;20.71404;0;1006.8;10
35.06;15.98;45.26;270;14.96014;21.86482;0;1009.3;10
39.02;15.98;38.72;280;14.96014;21.86482;0;1009.4;10
37.04;15.08;40.24;290;20.71404;25.31716;0;1009.5;10
39.92;15.08;35.95;290;17.2617;28.7695;0;1009.1;10
41;15.08;34.47;300;17.2617;24.16638;0;1008.7;10
42.08;15.08;33.06;280;21.86482;28.7695;0;1008.4;10
42.08;15.98;34.38;280;18.41248;27.61872;0;1008.6;10
42.08;15.08;33.06;270;17.2617;24.16638;0;1009.1;10
41;15.98;35.85;270;19.56326;24.16638;0;1009.8;10
39.92;17.06;39.17;270;11.5078;18.41248;0;1010.7;10
39.02;17.96;42.18;260;13.80936;20.71404;0;1011.2;10
37.04;19.04;47.75;280;13.80936;23.0156;0;1012.4;10
39.92;19.04;42.65;280;18.41248;26.46794;0;1011.9;10
42.08;19.04;39.23;290;14.96014;28.7695;0;1011.7;10
46.04;19.04;33.73;300;21.86482;28.7695;0;1011.7;10
46.94;17.96;31.12;280;27.61872;40.2773;0;1011.2;10
44.96;15.98;30.79;300;20.71404;37.97574;0;1010.8;10
48.02;17.06;28.75;290;23.0156;32.22184;0;1010.3;10
48.02;15.98;27.43;300;24.16638;32.22184;0;1010.2;10
46.04;15.08;28.42;290;17.2617;29.92028;0;1010.7;10
44.06;15.08;30.65;290;14.96014;27.61872;0;1011.2;10
41;15.08;34.47;310;14.96014;24.16638;0;1012.8;10
39.92;15.98;37.38;310;14.96014;23.0156;0;1013.1;10
39.02;17.06;40.57;310;12.65858;26.46794;0;1013.6;10
37.94;15.98;40.39;330;16.11092;23.0156;0;1013.8;10
39.92;17.96;40.72;310;14.96014;23.0156;0;1013.6;10
42.08;17.96;37.46;310;13.80936;25.31716;0;1012.7;10
42.98;19.04;37.9;350;10.35702;18.41248;0;1011.5;10
44.96;19.04;35.14;340;14.96014;23.0156;0;1010.4;10
39.92;26.06;57.33;40;17.2617;23.0156;0;1002.8;10
39.02;24.98;56.77;60;18.41248;26.46794;0;1002.2;10
